translator,no,bertscore,metricalDistanceAdjusted
iambic_pentameter_b,67,0.850652590936032,0.898989898989899
iambic_pentameter_b,68,0.877271474938656,2.32424242424242
iambic_pentameter_b,69,0.867226831878023,0.784090909090909
iambic_pentameter_b,70,0.872961344078223,1.55681818181818
iambic_pentameter_b,71,0.877426206133535,1.09090909090909
iambic_pentameter_b,72,0.87870724282506,0.863636363636363
iambic_pentameter_b,73,0.874140375093483,0.857142857142857
iambic_pentameter_b,74,0.895181624808272,0.798701298701299
iambic_pentameter_b,75,0.895809371032985,1.05194805194805
iambic_pentameter_b,76,0.901486004216508,1.31818181818182
iambic_pentameter_b,77,0.854397800257412,1.25974025974026
iambic_pentameter_b,78,0.88102950594468,1.87012987012987
iambic_pentameter_b,79,0.90268238050889,1.30519480519481
iambic_pentameter_b,80,0.893434285192548,1.48051948051948
iambic_pentameter_b,81,0.871690001302481,0.935064935064935
iambic_pentameter_b,82,0,None
iambic_pentameter_b,83,0.871765142963771,2.3961038961039
iambic_pentameter_b,84,0.879805305902242,1.56493506493506
iambic_pentameter_b,85,0.908027601079021,1.66233766233766
iambic_pentameter_b,86,0.896573232045491,1.96753246753247
iambic_pentameter_b,87,0.881126616761214,1.38181818181818
iambic_pentameter_b,88,0.882353681218052,1.5
iambic_pentameter_b,89,0.894000296456695,1.04545454545455
iambic_pentameter_b,90,0.872145691440008,5.89545454545454
iambic_pentameter_b,91,0.881979945646351,0.772727272727273
iambic_pentameter_b,92,0.870191455441476,1.48484848484848
iambic_pentameter_b,93,0.864261252506814,2.24545454545455
iambic_pentameter_b,94,0.882689535764112,1.52727272727273
iambic_pentameter_b,95,0.894864840891513,2.10606060606061
iambic_pentameter_b,96,0.881778213189114,2.67045454545455
iambic_pentameter_b,97,0.908100069248012,1.97727272727273
iambic_pentameter_b,98,0.864683105449105,1.71212121212121
iambic_pentameter_b,99,0.88453580161804,1.40909090909091
iambic_pentameter_d,0,0.852628389273662,0.964646464646465
iambic_pentameter_d,1,0.861962070302231,1.38636363636364
iambic_pentameter_d,2,0.857930162912921,1.77922077922078
iambic_pentameter_d,3,0.888183592530303,0.931818181818182
iambic_pentameter_d,4,0.865198860027733,0.824675324675325
iambic_pentameter_d,5,0.856300715102693,0.636363636363636
iambic_pentameter_d,6,0.903127018236856,1.66666666666667
iambic_pentameter_d,7,0.870335901854567,0.779220779220779
iambic_pentameter_d,8,0.877241848865791,1.10227272727273
iambic_pentameter_d,9,0.886286340963585,1.63636363636364
iambic_pentameter_d,10,0.897068928472766,1
iambic_pentameter_d,11,0.886069277717182,1.54545454545455
iambic_pentameter_d,12,0.895897625677301,1.50649350649351
iambic_pentameter_d,13,0.876730460973333,0.931818181818182
iambic_pentameter_d,14,0.898522783971774,0.840909090909091
iambic_pentameter_d,15,0.896127317104133,1.18181818181818
iambic_pentameter_d,16,0.888400022387416,0.681818181818182
iambic_pentameter_d,17,0.903434943453231,1.40909090909091
iambic_pentameter_d,18,0.891001410350177,1.47727272727273
iambic_pentameter_d,19,0.856808129484925,0.840909090909091
iambic_pentameter_d,20,0.882926633299235,1.40909090909091
iambic_pentameter_d,21,0.910539739434004,1.04545454545455
iambic_pentameter_d,22,0.886193384739409,0.75
iambic_pentameter_d,23,0.893608864401668,0.727272727272727
iambic_pentameter_d,24,0.884768891937375,0.863636363636364
iambic_pentameter_d,25,0.882697111445025,0.681818181818182
iambic_pentameter_d,26,0.889672869733067,1.61688311688312
iambic_pentameter_d,27,0.909062942947114,1.06363636363636
iambic_pentameter_d,28,0.867537285767758,1.625
iambic_pentameter_d,29,0.875802477012637,0.943181818181818
iambic_pentameter_d,30,0.866199035784186,0.727272727272727
iambic_pentameter_d,31,0.90992661700412,2.75757575757576
iambic_pentameter_d,32,0.881197584585628,0.795454545454545
iambic_pentameter_d,33,0.893346617162945,0.666666666666667
iambic_pentameter_d,34,0.882560277074394,1.12987012987013
iambic_pentameter_d,35,0.866104498688228,0.590909090909091
iambic_pentameter_d,36,0.865969031529047,0.733766233766234
iambic_pentameter_d,37,0.885880992955078,0.681818181818182
iambic_pentameter_d,38,0.870791506571269,0.824675324675325
iambic_pentameter_d,39,0.882179153989649,1.09090909090909
iambic_pentameter_d,40,0.861546574337244,0.545454545454545
